DogName, Count
BELLA,147
LUNA,111
MAX,90
BUDDY,85
DAISY,75
SADIE,72
CHARLIE,69
LUCY,66
COOPER,65
LOKI,65
BAILEY,60
WILLOW,59
MOLLY,56
JACK,55
LILY,55
MAGGIE,54
ROSIE,54
BEAR,52
DENALI,50
KODA,50
ROCKY,50
RUBY,46
BLUE,45
COCO,45
ZEUS,45
KONA,44
LOLA,44
KENAI,43
DUKE,42
NALA,42
RILEY,40
ABBY,39
MILO,39
GINGER,38
HARLEY,38
PENNY,38
SHADOW,37
SOPHIE,36
BANDIT,35
CHLOE,35
MOOSE,35
THOR,35
TOBY,33
GRACIE,31
GUS,31
OLLIE,31
PEPPER,30
SCOUT,30
ZOEY,30
LADY,29
COPPER,28
JASPER,28
LUCKY,28
MURPHY,28
PIPER,28
DEXTER,27
ROXY,27
JAKE,25
LEO,25
STELLA,25
KISKA,24
WINSTON,24
CHANCE,23
ELLIE,23
FINN,23
HONEY,23
APOLLO,22
BRUNO,22
CHEWY,22
JAX,22
LILLY,22
MARLEY,22
NOVA,22
RANGER,22
RUGER,22
TUCKER,22
ANGEL,21
EMMA,21
LOUIE,21
OAKLEY,21
SUGAR,21
BENTLEY,20
BUSTER,20
DIESEL,20
HANK,20
KING,20
LULU,20
ODIN,20
OLIVER,20
TITAN,20
ZOE,20
DIXIE,19
LUKE,19
POPPY,19
RAVEN,19
SASHA,19
TANK,19
YUKON,19
ATHENA,18
GIZMO,18
KODIAK,18
MAYA,18
PEANUT,18
PRINCESS,18
BO,17
GEORGE,17
MISKA,17
OLIVE,17
SAM,17
SMOKEY,17
DOZER,16
HUNTER,16
KINLEY,16
KOBUK,16
MIA,16
PENELOPE,16
RIVER,16
RUSTY,16
SAMMY,16
TEDDY,16
ANNIE,15
BAXTER,15
CHICO,15
KAI,15
LEXI,15
MAVERICK,15
OSCAR,15
BABY,14
BOOMER,14
DAKOTA,14
FREYA,14
IZZY,14
MILLIE,14
OREO,14
TYSON,14
ASPEN,13
BUBBA,13
GUNNER,13
HENRY,13
KATIE,13
MOCHA,13
ODIE,13
PEARL,13
PHOEBE,13
REMI,13
REX,13
ROMEO,13
ROSCOE,13
RUDY,13
SITKA,13
TAZ,13
ACE,12
FRANKIE,12
HARPER,12
HAZEL,12
JACKSON,12
KOA,12
LAYLA,12
MAXIMUS,12
ONYX,12
OTIS,12
PRINCE,12
ROCCO,12
AURORA,11
AXEL,11
BELLE,11
BLU,11
CHENA,11
CRICKET,11
ELLA,11
FINLEY,11
GOOSE,11
LEIA,11
MACY,11
MICKEY,11
MIDNIGHT,11
MINNIE,11
MISSY,11
MISTY,11
ROXIE,11
TILLY,11
WHISKEY,11
YUKI,11
ARCHIE,10
BALTO,10
BEAU,10
BENNY,10
BODHI,10
CODY,10
DESHKA,10
HARVEY,10
JUNEAU,10
JUNO,10
RIPLEY,10
RYDER,10
SAGE,10
SAMPSON,10
SANDY,10
SCOOBY,10
SUKI,10
THEO,10
TUNDRA,10
WINNIE,10
ZEKE,10
ZIGGY,10
BEN,9
BISCUIT,9
BRUCE,9
BUCK,9
CAPTAIN,9
CHASE,9
CHICA,9
CINNAMON,9
COCOA,9
DAISY MAE,9
DOLLY,9
EDDIE,9
ENZO,9
HOMER,9
IVY,9
JADE,9
JASMINE,9
LEROY,9
PHOENIX,9
PRECIOUS,9
REMINGTON,9
ROCKET,9
STAR,9
STORMY,9
WINTER,9
ZELDA,9
ANUBIS,8
ASH,8
ATLAS,8
BARLEY,8
BOO,8
CALI,8
CHAMP,8
CHEVY,8
CHIEF,8
CHINOOK,8
CHIP,8
COOKIE,8
DALLAS,8
DAX,8
DELTA,8
DIAMOND,8
DUSTY,8
ELVIS,8
GOLDIE,8
HERCULES,8
HOLLY,8
JOSIE,8
KIKI,8
KILO,8
KIRBY,8
KIWI,8
NELLIE,8
NINA,8
NUKKA,8
RASCAL,8
RED,8
ROSE,8
SCOOTER,8
SHEBA,8
SHELBY,8
SIMBA,8
STANLEY,8
SYDNEY,8
THUNDER,8
TRIGGER,8
VIOLET,8
WALTER,8
XENA,8
YETI,8
ACHILLES,7
AMBER,7
ARLO,7
ARTEMIS,7
BALOO,7
BOSS,7
BRODY,7
BROOKS,7
BROWNIE,7
CHARLEY,7
CLEMENTINE,7
COMET,7
DELILAH,7
DOBBY,7
DOUG,7
DUTCH,7
ECHO,7
FRED,7
GIGI,7
HADES,7
HANNAH,7
HEIDI,7
HOPE,7
JOJO,7
KALI,7
KARMA,7
KIMBER,7
KIRA,7
LOGAN,7
MABEL,7
MAC,7
MADDIE,7
MAJOR,7
MAUI,7
MOJO,7
NYX,7
OZZY,7
PATCHES,7
PERCY,7
ROO,7
RUFUS,7
SAMANTHA,7
SAMSON,7
SASSY,7
SCRAPPY,7
SKY,7
SPARKY,7
SPIKE,7
SWEET PEA,7
TRIXIE,7
WILLIE,7
WILSON,7
ADAK,6
ALLIE,6
ANGUS,6
ARCHER,6
ARYA,6
AUTUMN,6
BABY GIRL,6
BAUER,6
BENJI,6
BETTY,6
BONNIE,6
BOOTS,6
BRUISER,6
BRUTUS,6
CALVIN,6
CASH,6
CLOVER,6
DARCY,6
DASH,6
EMBER,6
ESKA,6
FINNEGAN,6
FLETCHER,6
FRANK,6
FREYJA,6
GRACE,6
GYPSY,6
HAILEY,6
HUDSON,6
JOEY,6
JOY,6
KAIA,6
KAYA,6
KOBE,6
LENNY,6
LEVI,6
MADISON,6
MARSHALL,6
MERLIN,6
NANOOK,6
NUKA,6
OTTO,6
PACO,6
PANDA,6
PARKER,6
PETEY,6
PILOT,6
PORTER,6
QUINN,6
RAGNAR,6
REGGIE,6
REMY,6
RIO,6
ROMAN,6
ROWDY,6
SHILOH,6
SKYE,6
SNOOPY,6
STEVE,6
STORM,6
SUNNY,6
TALLULAH,6
TIMBER,6
TINKERBELL,6
TINY,6
TUX,6
WALLY,6
WATSON,6
WILEY,6
YOGI,6
ZIVA,6
ADA,5
ALLY,5
AMELIA,5
ARIEL,5
AUGGIE,5
AVA,5
BANJO,5
BASIL,5
BEBE,5
BJORN,5
BOB,5
BOLT,5
BONES,5
BOWIE,5
BRANDY,5
BULLET,5
BUTTERCUP,5
BUZZ,5
CASEY,5
CASSIE,5
CHAOS,5
CHERRY,5
CHESTER,5
CHEWBACCA,5
CHOPPER,5
CLEO,5
CLYDE,5
COSMO,5
DIEGO,5
DIGGER,5
DOC,5
DOTTIE,5
EDDY,5
FAITH,5
FANCY,5
FERGUS,5
FOXY,5
FRITZ,5
GHOST,5
GINNY,5
GLORY,5
GRIZZLY,5
GUCCI,5
GUINNESS,5
HAPPY,5
JAVA,5
JAXSON,5
JAXX,5
JUNIOR,5
JUNIPER,5
KIANA,5
KOVU,5
KUMA,5
KYRA,5
LEXIE,5
LILA,5
LOUIS,5
LUCA,5
MADDY,5
MAISIE,5
MARTY,5
MATILDA,5
MIKEY,5
MILES,5
MIMI,5
MISHKA,5
MOCHI,5
MOKI,5
MONTE,5
MORGAN,5
MOWGLI,5
MOXIE,5
NACHO,5
NIKO,5
OBI,5
OZZIE,5
PABLO,5
PIPPIN,5
POTTER,5
QUEEN,5
RAIDER,5
RICO,5
ROGER,5
SALLY,5
SCRUFFY,5
SEBASTIAN,5
SIERRA,5
SNICKERS,5
SUMMER,5
SVEN,5
TACO,5
TEDDY BEAR,5
TESS,5
